Country	Category	Document Name	Status	Embassy / University Requirement Note
Canada	Financial & Visa	DLI Letter of Acceptance (LOA)	Country Specific	Official unconditional or conditional acceptance letter with DLI Number.
Canada	Financial & Visa	Provincial Attestation Letter (PAL)	Country Specific	Provincial government allocation letter required for study permit filing.
Canada	Financial & Visa	GIC Certificate ($20,635 CAD)	Required	Guaranteed Investment Certificate deposited into an eligible Canadian financial institution.
Canada	Financial & Visa	First-Year Tuition Fee Payment Receipt	Required	Official receipt confirming 1st year tuition transferred to the DLI.
Canada	Financial & Visa	Upfront Medical Examination Confirmation	Required	e-Medical tracking sheet from an authorized IRCC panel physician.
Germany	University Application	Valid Passport	Required	Valid international passport with at least 12 months validity.
Germany	University Application	APS Certificate (Akademische Prüfstelle)	Country Specific	Mandatory document authentication certificate for Indian/Chinese applicants.
Germany	University Application	Official Academic Transcripts & Degree	Required	Recognized bachelor's degree / 12th grade certificates matching Anabin database.
Germany	University Application	Curriculum Vitae (Europass Format)	Required	Chronological, tabular Europass CV without unverified gaps.
Germany	University Application	Letter of Motivation (SOP)	Required	Academic letter explaining subject passion, university selection, and research interest.
Germany	University Application	Language Test Certificate	Required	IELTS 6.5+ (English programs) or TestDaF / Goethe B2-C1 (German programs).
Germany	Financial & Visa	Zulassungsbescheid (Official Admission Letter)	Country Specific	Direct admission or conditionally approved Studienkolleg letter.
Germany	Financial & Visa	Blocked Account Confirmation (Sperrkonto)	Required	Official bank confirmation showing €11,208 deposited (Expatrio / Fintiba / Coracle).
Germany	Financial & Visa	Statutory Health Insurance Certificate	Required	Mandatory German public health insurance confirmation (TK, Barmer, DAK).
Germany	Financial & Visa	Completed Videx Application & Declarations	Required	Printed Videx National Visa application form signed as per passport.
Germany	Financial & Visa	Biometric Passport Photographs (35x45mm)	Required	3 identical biometric photographs with light gray/white background.
Australia	University Application	Valid Passport	Required	Passport with minimum 6 months validity beyond course completion.
Australia	University Application	Academic Transcripts & Certificates	Required	Certified copies of secondary and tertiary academic records.
Australia	University Application	Genuine Student (GS) Statement	Required	Structured responses outlining career path, economic situation, and course value.
Australia	University Application	English Proficiency Score Card	Required	IELTS Academic (6.5+ overall, min 6.0 in all bands) or PTE Academic (58+).
Australia	University Application	Updated CV & Employment Evidence	Usually Required	Work experience letters, form 16 / tax returns, and bank salary slips.
Australia	Financial & Visa	Confirmation of Enrolment (CoE)	Country Specific	Electronic CoE issued via PRISMS after deposit payment.
Australia	Financial & Visa	OSHC Health Cover Certificate	Required	Health insurance policy covering the entire duration of the student visa.
Australia	Financial & Visa	Proof of Financial Capacity	Required	Bank savings or loan sanction letter covering AUD $29,710 living + 1st yr tuition.
Australia	Financial & Visa	e-Medical Clearance Report	Required	Health examination clearance processed via Bupa / panel clinic using HAP ID.
Australia	Financial & Visa	Affidavit of Financial Support	Program Specific	Sponsor declaration letter with source of funds documentation.
Ireland	University Application	Valid Passport	Required	Passport valid for at least 12 months from the date of arrival in Ireland.
Ireland	University Application	Degree Certificates & Official Transcripts	Required	Academic marksheets showing minimum 60%+ (Irish 2.1 / 2.2 honours standard).
Ireland	University Application	Statement of Purpose (SOP)	Required	Detailed personal statement explaining university rationale and career outcome.
Ireland	University Application	Letters of Recommendation (2)	Required	2 academic or academic/employer reference letters on institutional stationery.
Ireland	University Application	English Language Test Report	Required	IELTS 6.5+ (no band below 6.0) or Duolingo English Test (110–120+).
Ireland	University Application	Curriculum Vitae / Resume	Required	Updated CV highlighting academic achievements, internships, and technical skills.
Ireland	Financial & Visa	Official Unconditional Admission Letter	Country Specific	Offer letter from an approved Irish Higher Education Institution.
Ireland	Financial & Visa	Electronic Fee Payment Receipt	Required	Confirmation receipt of at least €6,000 or full tuition paid via TransferMate.
Ireland	Financial & Visa	6-Month Continuous Bank Statements	Required	Showing €10,000 liquid living expenses without sudden unexplained lump sums.
Ireland	Financial & Visa	Private Medical Insurance Policy	Required	Comprehensive international student health insurance policy document.
Ireland	Financial & Visa	Summary AVATS Visa Application Form	Required	Signed printed summary sheet from the online AVATS visa portal with fee receipt.
France	University Application	Valid Passport	Required	International passport valid for at least 15 months with blank visa pages.
France	University Application	Official Academic Transcripts & Degree	Required	Certified academic records and provisional or final degree certificates.
France	University Application	Curriculum Vitae (CV)	Required	Detailed chronological CV highlighting academic background and internships.
France	University Application	Letter of Motivation (SOP)	Required	Personal motivation letter explaining university choice and career goals.
France	University Application	Letters of Recommendation (LOR)	Usually Required	1–2 academic or professional reference letters on official letterhead.
France	University Application	English Test Score Certificate	Required	IELTS 6.5+ or TOEFL iBT 85+ for English-medium programs.
France	Financial & Visa	Campus France EEF Certificate	Country Specific	Attestation de délivrance d’avis issued after Campus France interview.
France	Financial & Visa	Official Admission Attestation	Country Specific	Official acceptance letter from a French higher education institution.
France	Financial & Visa	Proof of Financial Means (€7,380+ / yr)	Required	Bank statement showing at least €615/month for the 1st academic year.
France	Financial & Visa	Proof of Accommodation (First 3 Months)	Required	Attestation d'hébergement, lease agreement, or CROUS student housing booking.
France	Financial & Visa	Completed France-Visas Summary	Required	Summary application form generated on the official france-visas.gouv.fr portal.
New Zealand	University Application	Valid Passport	Required	Passport valid for at least 6 months past intended course completion date.
New Zealand	University Application	Academic Transcripts & Certificates	Required	Certified copies of all school and university qualifications.
New Zealand	University Application	Statement of Purpose (SOP)	Required	Comprehensive SOP explaining reasons for choosing New Zealand and study goals.
New Zealand	University Application	English Test Score Card	Required	IELTS Academic (6.5+ overall, no band < 6.0) or PTE Academic (58+).
New Zealand	University Application	Updated CV / Resume	Usually Required	Up-to-date resume covering education, internships, and work history.
New Zealand	University Application	Letters of Recommendation	Program Specific	Academic or employer references where requested by specific faculties.
New Zealand	Financial & Visa	Offer of Place Letter	Country Specific	Official unconditional or conditional offer letter from an approved NZ institution.
New Zealand	Financial & Visa	Proof of Funds (NZD $20,000 + Tuition)	Required	Demonstrating NZD $20,000 annual living expenses plus tuition in bank account.
New Zealand	Financial & Visa	Medical Certificate (e-Medical)	Required	General medical exam and chest X-ray from an approved INZ panel physician.
New Zealand	Financial & Visa	Police Clearance Certificate	Required	National police certificate showing clean character record (for stays > 2 yrs).
New Zealand	Financial & Visa	Comprehensive Medical Insurance Policy	Required	Compliant travel and medical insurance policy for the duration of stay.
Netherlands	University Application	Valid Passport	Required	Valid passport with at least 6 months remaining validity.
Netherlands	University Application	Studielink Registration Number	Country Specific	Official account proof from the national Studielink.nl application system.
Netherlands	University Application	Academic Transcripts & Degree	Required	Certified marksheets, degree certificate, and course descriptions.
Netherlands	University Application	Motivation Letter (SOP)	Required	Detailed personal statement explaining course motivation and fit.
Netherlands	University Application	English Proficiency Report	Required	IELTS Academic (6.5+ overall, min 6.0 per band) or TOEFL iBT 90+.
Netherlands	University Application	Curriculum Vitae (CV)	Required	Detailed academic CV following Dutch university guidelines.
Netherlands	Financial & Visa	Official Admission Certificate	Country Specific	Unconditional admission letter from an approved Dutch research/applied university.
Netherlands	Financial & Visa	IND Antecedents Certificate	Required	Signed declaration confirming clean criminal and immigration record.
Netherlands	Financial & Visa	Proof of Financial Means (€12,000+ / yr)	Required	Deposit of IND living cost standard + tuition balance into university account.
Netherlands	Financial & Visa	TB Test Referral (if applicable)	Country Specific	Tuberculosis test appointment form for applicable nationalities.
Netherlands	Financial & Visa	Health Insurance Policy Document	Required	Private health insurance covering medical expenses in the Netherlands.
Singapore	University Application	Valid Passport	Required	Passport with minimum 6 months validity at the time of entry.
Singapore	University Application	Official Degree & Transcripts	Required	Certified copies of all semester marksheets and degree scroll.
Singapore	University Application	Statement of Purpose (SOP)	Required	Focused personal statement addressing research or career goals.
Singapore	University Application	Referee Reports / LORs (2)	Required	Confidential academic reference forms submitted directly by referees.
Singapore	University Application	IELTS / TOEFL Score Report	Usually Required	IELTS 6.5–7.0+ or TOEFL iBT 90–100+ (waived for English-medium degrees).
Singapore	University Application	Detailed Curriculum Vitae	Required	Professional CV detailing academic milestones, research, and work history.
Singapore	Financial & Visa	SOLAR Application Number	Country Specific	Registration number issued by university on the ICA SOLAR system.
Singapore	Financial & Visa	ICA In-Principle Approval (IPA)	Country Specific	Electronic IPA letter issued by Singapore Immigration (serves as entry visa).
Singapore	Financial & Visa	Bank Solvency Statement (SGD $30,000+)	Required	Bank statement proving ability to fund 1st year tuition and living costs.
Singapore	Financial & Visa	MOE Tuition Grant Agreement (if opted)	Program Specific	Signed service agreement committing to 3-year Singapore employment bond.
Singapore	Financial & Visa	Medical Examination Report (ICA Format)	Required	Mandatory HIV and chest X-ray screening report completed upon arrival.
Italy	University Application	Valid Passport	Required	Valid international passport with at least 15 months validity.
Italy	University Application	CIMEA Statement of Comparability	Country Specific	Official comparability and verification certificate issued by CIMEA Italy.
Italy	University Application	Official Academic Transcripts	Required	Complete academic marksheets and syllabus translations if required.
Italy	University Application	Motivation Letter & CV	Required	Academic SOP and Europass format CV highlighting design/engineering projects.
Italy	University Application	English Test Score Certificate	Required	IELTS 6.0–6.5+ or TOEFL iBT 78–85+ for English-medium programs.
Italy	University Application	Universitaly Summary Sheet	Country Specific	Validated pre-enrollment summary sheet downloaded from universitaly.it.
Italy	Financial & Visa	Pre-Enrollment Summary (Universitaly)	Country Specific	Official pre-enrollment approval validated by the Italian institution.
Italy	Financial & Visa	Bank Solvency Proof (€6,000+)	Required	Personal or parental bank statement showing at least €6,000 annual funds.
Italy	Financial & Visa	Proof of Accommodation in Italy	Required	Hostel booking, rental contract, or declaration of hospitality in Italy.
Italy	Financial & Visa	International Health Insurance Policy	Required	Emergency medical coverage valid across the Schengen area (€30,000 min).
Italy	Financial & Visa	Flight Ticket Reservation	Required	Confirmed round-trip or one-way travel booking to Italy.
Sweden	University Application	Valid Passport	Required	Current passport with at least 18 months validity.
Sweden	University Application	Bachelor’s Degree & Full Transcripts	Required	Officially certified degree certificate and consolidated marksheets.
Sweden	University Application	UniversityAdmissions Cover Sheet	Country Specific	Signed documentation cover sheet from UniversityAdmissions.se portal.
Sweden	University Application	English Test Score Report	Required	IELTS Academic (6.5+ overall, min 5.5 in each section) or TOEFL iBT 90+.
Sweden	University Application	Motivation Letter / Syllabus (if required)	Program Specific	Specific motivation questionnaire or syllabus breakdown if required by faculty.
Sweden	University Application	Curriculum Vitae	Usually Required	Detailed academic CV highlighting relevant undergraduate coursework.
Sweden	Financial & Visa	Notification of Selection Results	Country Specific	Official admission letter downloaded from the national Swedish portal.
Sweden	Financial & Visa	1st Semester Tuition Fee Receipt	Required	Receipt from university confirming 1st tuition installment paid.
Sweden	Financial & Visa	Bank Statement in Student’s Own Name (SEK 103k+)	Required	Personal bank account statement showing at least SEK 103,140 for 10 months.
Sweden	Financial & Visa	Comprehensive Health Insurance Proof	Required	FAS state health insurance certificate provided through the university.
Sweden	Financial & Visa	Completed Migrationsverket Web Form	Required	Online residence permit application receipt from the Swedish Migration Agency.
Switzerland	University Application	Valid Passport	Required	Passport with minimum 12 months validity and two blank pages.
Switzerland	University Application	Bachelor’s Degree Certificate & Transcripts	Required	Certified copies of degree certificates with complete course syllabus breakdowns.
Switzerland	University Application	Detailed CV / Resume	Required	Academic CV highlighting research projects, technical skills, and publications.
Switzerland	University Application	Motivation Letter & Study Plan	Required	Detailed statement outlining academic objectives and research interests in Switzerland.
Switzerland	University Application	GRE / GATE Score Report (ETH/EPFL)	Program Specific	Official GRE General test scores required for Non-EU applicants at ETH Zurich & EPFL.
Switzerland	University Application	2 Academic Letters of Recommendation	Required	Confidential reference letters from university professors on official letterhead.
Switzerland	Financial & Visa	Official Swiss University Acceptance Letter	Required	Unconditional confirmation of admission issued by Swiss university.
Switzerland	Financial & Visa	FINMA Bank Solvency Proof (CHF 21,000+)	Required	Bank certificate from a FINMA-approved Swiss bank or recognized branch showing CHF 21,000.
Switzerland	Financial & Visa	Signed Undertaking to Depart Switzerland Post-Study	Country Specific	Mandatory written commitment stating you will depart Switzerland upon completing studies.
Switzerland	Financial & Visa	Proof of Student Accommodation	Required	Confirmed rental agreement or student housing reservation in Switzerland.
Switzerland	Financial & Visa	Swisscare / Private Health Insurance Policy	Required	Compliant student health insurance policy meeting Swiss cantonal standards.
Spain	University Application	Valid Passport	Required	Valid passport with at least 1 year validity beyond intended stay.
Spain	University Application	Bachelor’s Degree & Academic Transcripts	Required	Graduation certificate and transcripts legalised with the Hague Apostille.
Spain	University Application	Curriculum Vitae	Required	Comprehensive professional CV detailing work experience and academics.
Spain	University Application	Statement of Purpose / Motivation Letter	Required	Personal essay explaining career goals and choice of Spanish institution.
Spain	University Application	English / Spanish Language Certificate	Required	IELTS Academic (6.5+) or DELE/SIELE B2 for Spanish-medium tracks.
Spain	University Application	Letters of Recommendation	Usually Required	1-2 academic or employer recommendation letters.
Spain	Financial & Visa	Official Carta de Admisión (Matrícula)	Country Specific	Official acceptance letter stating full-time enrollment from accredited Spanish university.
Spain	Financial & Visa	Apostilled Police Clearance Certificate	Required	Criminal record certificate with Hague Apostille and official sworn Spanish translation.
Spain	Financial & Visa	Official Medical Certificate (IHR 2005)	Required	Medical certificate confirming absence of public health diseases under IHR 2005.
Spain	Financial & Visa	Spanish Health Insurance (Zero Co-pay)	Required	Private insurance from authorized Spanish company (Sanitas, Adeslas) with €0 co-pay.
Spain	Financial & Visa	Bank Statement for 6 Months (IPREM €7,200+)	Required	Bank statements demonstrating 100% of IPREM (€600/month) for the full study period.
Spain	Financial & Visa	Sworn Spanish Translations (Traducción Jurada)	Required	Certified Spanish translations by an official Traductor Jurado.
Japan	University Application	Valid Passport	Required	Passport valid for at least 1 year with blank pages.
Japan	University Application	Bachelor’s Degree Certificate & Official Transcripts	Required	Certified graduation certificates and transcripts with English translations.
Japan	University Application	Detailed Research Proposal (Kenkyu Keikaku-sho)	Program Specific	Comprehensive academic research plan required for Master's and PhD programs.
Japan	University Application	English Language Score (IELTS/TOEFL)	Required	IELTS Academic (6.5+) or TOEFL iBT (85+) score report.
Japan	University Application	2 Letters of Recommendation	Required	Confidential academic references from dean or supervising professors.
Japan	University Application	CV / Academic Resume	Required	Academic resume including publication record and thesis details.
Japan	Financial & Visa	Certificate of Eligibility (COE) from Immigration Japan	Country Specific	Original digital Certificate of Eligibility issued by Japanese Immigration.
Japan	Financial & Visa	Letter of Admission from Japanese University	Required	Official acceptance notice confirming university matriculation.
Japan	Financial & Visa	Bank Balance Certificate (¥2,000,000+)	Required	Financial solvency certificate demonstrating at least ¥2.0M–¥2.5M in personal/sponsor account.
Japan	Financial & Visa	Financial Sponsor’s Tax / Income Proof	Required	Tax returns, employment certificates, and salary slips of parent/financial sponsor.
Japan	Financial & Visa	Embassy Visa Application Form with 2x2 photo	Required	Completed visa form with official Japanese visa specification photo.
South Korea	University Application	Valid Passport & Passport Photos	Required	Passport valid for min 18 months and white-background visa photos.
South Korea	University Application	Apostilled Bachelor’s Degree & Transcripts	Required	Graduation diploma and transcripts certified with Hague Apostille or Consular seal.
South Korea	University Application	Personal Statement & Study Plan (A4 1-2 pages)	Required	Detailed personal statement and study schedule in English or Korean.
South Korea	University Application	English Language Certificate (IELTS/TOEFL)	Required	Official IELTS Academic (6.0+) or TOEFL iBT score report.
South Korea	University Application	Family Relation Certificate (with Parents’ IDs)	Country Specific	Government birth certificate proving parentage and sponsor identity.
South Korea	University Application	Letters of Recommendation	Usually Required	Academic letters of recommendation from undergraduate professors.
South Korea	Financial & Visa	Standard Certificate of Admission (CoA) by University	Required	Official standard CoA document issued by Korean university president.
South Korea	Financial & Visa	University Business Registration Certificate	Country Specific	Copy of Korean university’s official business license (Saupja Deungrokjeung).
South Korea	Financial & Visa	Bank Balance Certificate ($20,000+ held for 30+ days)	Required	Official bank certificate showing $20,000+ balance frozen/held for at least 30 days.
South Korea	Financial & Visa	Apostilled Proof of Family Relationship	Required	Apostilled family relation record validating financial sponsor connection.
South Korea	Financial & Visa	Tuberculosis (TB) Test Certificate from designated clinic	Required	Chest X-ray TB certificate from Korean embassy-designated hospital.
UAE	University Application	Valid Passport (min 6 months validity)	Required	Passport with at least 6 months remaining validity.
UAE	University Application	Attested Degree Certificate & Official Transcripts	Required	Degree certificate attested by Ministry of Foreign Affairs and UAE Embassy.
UAE	University Application	English Proficiency Score (IELTS/TOEFL)	Required	IELTS (6.0+) or TOEFL iBT score card.
UAE	University Application	Statement of Purpose / CV	Required	Updated academic curriculum vitae and personal motivation statement.
UAE	University Application	Passport-size photographs (white background)	Required	Recent photographs meeting UAE immigration biometric standards.
UAE	Financial & Visa	University Formal Offer Letter & Fee Receipt	Required	Unconditional admission letter and 1st semester tuition fee payment receipt.
UAE	Financial & Visa	UAE Student Entry Permit copy	Country Specific	Electronic entry permit issued by GDRFA Dubai or ICP Abu Dhabi.
UAE	Financial & Visa	Medical Fitness Test Certificate (completed in UAE)	Required	Official blood test and chest X-ray result issued by UAE health authority.
UAE	Financial & Visa	Emirates ID Biometrics Enrollment confirmation	Required	Registration appointment confirmation receipt for Emirates ID capture.
UAE	Financial & Visa	Health Insurance Card / Certificate	Required	Approved UAE medical insurance policy covering hospitalization and clinics.
Finland	University Application	Valid Passport	Required	Valid national passport with at least 2 empty pages.
Finland	University Application	Bachelor’s Degree Certificate & Official Transcripts	Required	Degree certificate and certified transcripts with English translations.
Finland	University Application	English Language Test Certificate	Required	IELTS Academic (6.5+ overall) or TOEFL iBT (92+) score report.
Finland	University Application	Motivation Letter / Portfolio (for Design)	Program Specific	Personal statement or creative portfolio for architecture and design degrees.
Finland	University Application	Curriculum Vitae	Required	Europass or modern format CV highlighting relevant academic projects.
Finland	Financial & Visa	Official Certificate of Acceptance from Finnish HEI	Required	Confirmation of study place issued by Finnish university.
Finland	Financial & Visa	Receipt of Tuition Fee Payment or Scholarship Letter	Required	Bank transfer confirmation or university scholarship award letter.
Finland	Financial & Visa	Bank Statement in Student’s Own Name (€6,720+)	Required	Personal bank statement showing min €6,720 (€560/month) for 1 year.
Finland	Financial & Visa	Private Health Insurance Policy (covering min €120,000)	Required	Student health policy (Swisscare, SIP) covering min €120,000 in medical expenses.
Finland	Financial & Visa	Completed EnterFinland Application Dossier	Required	Electronic application submission confirmation from EnterFinland.fi.
Poland	University Application	Valid Passport	Required	Passport valid for at least 1 year after intended program start.
Poland	University Application	Bachelor’s Degree Certificate & Transcripts	Required	Degree credentials with Hague Apostille and certified sworn Polish translation.
Poland	University Application	English Proficiency Proof / MOI Certificate	Required	IELTS Academic (6.0+) or Medium of Instruction certificate from undergraduate college.
Poland	University Application	Curriculum Vitae	Required	Detailed chronological resume of education and employment.
Poland	University Application	Eligibility Statement (Apostilled)	Country Specific	Statement confirming degree entitles holder to apply for Master's programs.
Poland	Financial & Visa	Official Acceptance Certificate (Zaświadczenie)	Required	Official university certificate of admission on standard ministry template.
Poland	Financial & Visa	Tuition Fee Payment Confirmation Receipt	Required	Bank wire transfer confirmation for full first-year tuition.
Poland	Financial & Visa	Bank Statement (PLN 25,000+ or foreign currency equivalent)	Required	Bank statement showing at least PLN 25,000 living expenses and travel funds.
Poland	Financial & Visa	Proof of Accommodation (Dormitory / Lease Agreement)	Required	Dormitory reservation certificate or signed Polish apartment lease contract.
Poland	Financial & Visa	Schengen Travel Medical Insurance (€30,000 coverage)	Required	Insurance policy covering minimum €30,000 emergency medical and repatriation.
Austria	University Application	Valid Passport	Required	Passport with minimum 18 months validity and blank visa pages.
Austria	University Application	Bachelor’s Degree Certificate & Academic Transcripts	Required	Degree documents legalised via Hague Apostille or diplomatic super-legalisation.
Austria	University Application	Proof of Special University Entrance Qualification	Country Specific	Besondere Universitätsreife confirming eligibility to study the major in home country.
Austria	University Application	English Language Certificate	Required	IELTS Academic (6.5+) or TOEFL iBT (90+) score certificate.
Austria	University Application	Motivation Letter / CV	Required	Comprehensive motivation essay and Europass CV.
Austria	Financial & Visa	Official Austrian Admission Notice (Zulassungsbescheid)	Required	Official letter of admission issued by Austrian university rectorate.
Austria	Financial & Visa	Bank Statement showing €14,604+ (€8,064 if under 24)	Required	Bank certificate in student's sole name demonstrating required annual living funds.
Austria	Financial & Visa	Police Clearance Certificate (Apostilled & translated)	Required	Criminal background check certificate apostilled and translated into German.
Austria	Financial & Visa	Proof of Student Accommodation (Wohnrechtsvereinbarung)	Required	Confirmed contract with Austrian student dorm (OeAD-Wohnraum) or tenancy agreement.
Austria	Financial & Visa	Comprehensive Health Insurance (ÖGK or equivalent)	Required	ÖGK student self-insurance or equivalent private policy valid in Austria.
Malaysia	University Application	Valid Passport (all pages scanned)	Required	Color scan of all pages of passport (including empty pages) valid for 18+ months.
Malaysia	University Application	Academic Transcripts & Graduation Certificate	Required	Certified copies of academic certificates and semester marksheets with grading scale.
Malaysia	University Application	English Proficiency Test Score (IELTS/TOEFL/PTE)	Required	IELTS (5.5–6.0+), TOEFL (70+), or PTE (51+) score report.
Malaysia	University Application	Passport Photos with white background (35mm x 45mm)	Required	Passport photos adhering to strict EMGS biometric specifications.
Malaysia	University Application	Resume / Statement of Purpose (for PG)	Usually Required	Curriculum vitae and brief research/study proposal for postgraduate candidates.
Malaysia	Financial & Visa	Electronic Visa Approval Letter (eVAL) from EMGS	Required	Official eVAL document issued by Malaysian Immigration Department via EMGS.
Malaysia	Financial & Visa	Single Entry Visa (SEV) approval document	Required	eVISA Single Entry Visa printout from official Malaysian immigration portal.
Malaysia	Financial & Visa	University Offer Letter & Tuition Fee Receipt	Required	Letter of Offer and invoice payment receipt from Malaysian institution.
Malaysia	Financial & Visa	Pre-Arrival Health Declaration Form	Required	Completed health declaration form submitted online to EMGS.
Malaysia	Financial & Visa	Bank Statement showing sufficient funds	Required	Bank solvency statement showing tuition fees plus RM 12,000–18,000 living funds.

